3041039,20049,1
2893711,125299,2
2576430,6430,1
1961606,61606,2
3123501,3501,1
3048083,8083,1
2788737,8737,1
2225021,5021,2
2128967,967,1
2030012,25076,1
1936126,6126,1
3108136,8136,2
2399754,9754,1
2809446,9446,2
2718583,8583,1
2043354,354,1
2909578,9578,2
2459183,9183,1
1947121,7121,2
2819876,9876,1
2582663,90213,1
3098677,677,1
3233625,3625,2
2486841,5021,1
3186061,6061,2
2328752,8752,1
2929388,9388,2
2114934,4934,1
3072454,2454,2
2842713,2713,1
2798992,8992,2
2973809,3809,1
2849186,10036,2
2518122,8122,1
2359296,9296,2
3136713,6713,1
2281325,1325,1
2648848,8848,2
2263059,3059,1
2553782,3782,1
3086411,6411,1
2250658,658,2
2899662,9662,2
2017382,7382,1
2871091,1091,1
2474286,4286,1
2102135,2135,1
2187869,7869,2
2694724,724,1
2411693,1693,1
2210894,894,1
2078194,8194,1
2066797,6797,2
1991792,1792,1
2659928,9928,2
2240326,40326,2
2439095,9095,1
3155355,5355,1
1975827,827,1
2885871,871,1
3245088,5088,1
3170057,57,1
2829838,9838,1
2915866,75188,1
2423054,3054,2
2006298,6298,1
2385929,929,1
2704414,4414,2
2745519,5519,1
3006291,291,1
2142369,2369,1
2536947,6947,1
3028792,792,1
2297278,7278,2
2028840,840,1
2544881,45116,1
2932735,10013,1
2604072,4072,2
2348429,8429,2
3201731,1731,1
2158306,306,1
2448853,8853,2
2068604,20019,1
2731575,1575,1
2172523,2523,2
3271268,1268,1
2564758,4758,2
3257476,7476,1
2632887,2887,1
2507194,7194,2
2957756,7756,1
2309713,9713,2
3213636,3636,2
2618293,8293,1
2197343,7343,2
2682724,2724,1
2375140,5140,2
2338329,8329,1
2772780,780,1
2759595,9595,2
