1569301,9301,1
1516951,6951,2
1784700,4700,1
1287039,45066,1
1656948,56948,1
1630700,700,1
1307526,7526,1
1615590,5590,1
1250988,988,1
1322082,42082,1
1268882,82,1
1198884,8884,1
1152875,2875,1
1239112,9112,1
1592291,2291,2
1164050,50,1
1373717,10035,1
1475921,75921,1
1555978,978,2
1675535,10010,1
1451795,51795,1
1504559,4559,1
1422029,2029,1
1372602,72602,1
1464006,4006,1
1179260,9260,1
1391669,5024,1
1506073,20052,1
1603568,3568,2
1481759,55081,1
1716994,6994,1
1357958,57958,1
1343547,43547,2
1816154,154,1
1771705,71705,2
1109757,100189,2
1742983,5012,1
1795038,5014,1
1409012,9012,1
1718640,40055,1
1643127,3127,1
1733026,3026,1
1297630,7630,1
1471361,20019,1
1672397,2397,1
1578976,8976,1
1436391,6391,2
1706236,236,1
1264446,20066,1
1190262,35101,1
