1569301,0,0
1516951,0,0
1784700,0,0
1287039,45066,1
1656948,0,0
1630700,0,0
1307526,0,0
1615590,0,0
1250988,0,0
1322082,0,0
1268882,0,0
1198884,0,0
1152875,0,0
1239112,0,0
1592291,0,0
1164050,0,0
1373717,10035,2
1475921,0,0
1555978,0,0
1675535,10010,1
1451795,0,0
1504559,0,0
1422029,0,0
1372602,0,0
1464006,0,0
1179260,0,0
1391669,5024,1
1506073,20052,1
1603568,0,0
1481759,55081,1
1716994,0,0
1357958,0,0
1343547,0,0
1816154,0,0
1771705,0,0
1109757,100189,2
1742983,5012,1
1795038,5014,1
1409012,0,0
1718640,40055,1
1643127,0,0
1733026,0,0
1297630,0,0
1471361,20019,1
1672397,0,0
1578976,0,0
1436391,0,0
1706236,0,0
1264446,20066,1
1190262,35101,1
